POS	VALUE	CHROM
0	0.497419355	Chr1
0.05	0.497419355	Chr1
0.1	0.495744681	Chr1
0.15	0.494123711	Chr1
0.2	0.434628571	Chr1
0.25	0.42787234	Chr1
0.3	0.40557971	Chr1
0.35	0.403987138	Chr1
0.4	0.404583333	Chr1
0.45	0.405238095	Chr1
0.5	0.40571875	Chr1
0.55	0.40471875	Chr1
0.6	0.40509375	Chr1
0.65	0.385616438	Chr1
0.7	0.37026616	Chr1
0.75	0.371444867	Chr1
0.8	0.371030534	Chr1
0.85	0.373539095	Chr1
0.9	0.374481328	Chr1
0.95	0.374481328	Chr1
1	0.375330579	Chr1
1.05	0.377723577	Chr1
1.1	0.377877551	Chr1
1.15	0.377066116	Chr1
1.2	0.388461538	Chr1
1.25	0.39275641	Chr1
1.3	0.437101449	Chr1
1.35	0.474871795	Chr1
1.4	0.470512821	Chr1
1.45	0.462272727	Chr1
1.5	0.460666667	Chr1
1.55	0.416666667	Chr1
1.6	0.429361702	Chr1
1.65	0.432736842	Chr1
1.7	0.434020619	Chr1
1.75	0.434536082	Chr1
1.8	0.436907216	Chr1
1.85	0.434375	Chr1
1.9	0.438469388	Chr1
1.95	0.4425	Chr1
2	0.442	Chr1
2.05	0.442761905	Chr1
2.1	0.443611111	Chr1
2.15	0.444324324	Chr1
2.2	0.441415094	Chr1
2.25	0.441308411	Chr1
2.3	0.441792453	Chr1
2.35	0.443267327	Chr1
2.4	0.4435	Chr1
2.45	0.448723404	Chr1
2.5	0.452	Chr1
2.55	0.519574468	Chr1
2.6	0.507073171	Chr1
2.65	0.50372093	Chr1
2.7	0.496428571	Chr1
2.75	0.492926829	Chr1
2.8	0.4984	Chr1
2.85	0.5024	Chr1
2.9	0.495106383	Chr1
2.95	0.49452381	Chr1
3	0.498604651	Chr1
3.05	0.499090909	Chr1
3.1	0.50097561	Chr1
3.15	0.4975	Chr1
3.2	0.4975	Chr1
3.25	0.499230769	Chr1
3.3	0.495121951	Chr1
3.35	0.497111111	Chr1
3.4	0.498478261	Chr1
3.45	0.489777778	Chr1
3.5	0.487954545	Chr1
3.55	0.5025	Chr1
3.6	0.510178571	Chr1
3.65	0.505740741	Chr1
3.7	0.509814815	Chr1
3.75	0.51	Chr1
3.8	0.505869565	Chr1
3.85	0.5054	Chr1
3.9	0.51	Chr1
3.95	0.509148936	Chr1
4	0.506590909	Chr1
4.05	0.5005	Chr1
4.1	0.50097561	Chr1
4.15	0.505365854	Chr1
4.2	0.505365854	Chr1
4.25	0.505365854	Chr1
4.3	0.51	Chr1
4.35	0.509142857	Chr1
4.4	0.497714286	Chr1
4.45	0.499714286	Chr1
4.5	0.502857143	Chr1
4.55	0.4828125	Chr1
4.6	0.453157895	Chr1
4.65	0.458333333	Chr1
4.7	0.461764706	Chr1
4.75	0.444736842	Chr1
4.8	0.449	Chr1
4.85	0.429285714	Chr1
4.9	0.429285714	Chr1
4.95	0.429285714	Chr1
5	0.429285714	Chr1
5.05	0.424285714	Chr1
5.1	0.443	Chr1
5.15	0.443125	Chr1
