POS	VALUE	CHROM
0	-0.020860215	Chr1
0.05	-0.020860215	Chr1
0.1	-0.019680851	Chr1
0.15	-0.019278351	Chr1
0.2	0.048571429	Chr1
0.25	0.054414894	Chr1
0.3	0.06442029	Chr1
0.35	0.065080386	Chr1
0.4	0.064679487	Chr1
0.45	0.063650794	Chr1
0.5	0.0621875	Chr1
0.55	0.06434375	Chr1
0.6	0.06209375	Chr1
0.65	0.075273973	Chr1
0.7	0.091520913	Chr1
0.75	0.090760456	Chr1
0.8	0.090267176	Chr1
0.85	0.093744856	Chr1
0.9	0.092655602	Chr1
0.95	0.092655602	Chr1
1	0.091859504	Chr1
1.05	0.088780488	Chr1
1.1	0.08877551	Chr1
1.15	0.089958678	Chr1
1.2	0.06443787	Chr1
1.25	0.058717949	Chr1
1.3	0.026521739	Chr1
1.35	-0.005128205	Chr1
1.4	0.002820513	Chr1
1.45	-0.028181818	Chr1
1.5	-0.034444444	Chr1
1.55	0.012619048	Chr1
1.6	-0.000106383	Chr1
1.65	-0.003789474	Chr1
1.7	-0.001546392	Chr1
1.75	-0.00185567	Chr1
1.8	-0.00185567	Chr1
1.85	-0.000416667	Chr1
1.9	-0.006632653	Chr1
1.95	-0.006634615	Chr1
2	-0.003047619	Chr1
2.05	0.000285714	Chr1
2.1	-0.001759259	Chr1
2.15	-0.003153153	Chr1
2.2	0.001509434	Chr1
2.25	1.18E-19	Chr1
2.3	-0.002075472	Chr1
2.35	-0.006435644	Chr1
2.4	-0.009	Chr1
2.45	0.003297872	Chr1
2.5	0.007444444	Chr1
2.55	-0.049148936	Chr1
2.6	-0.032682927	Chr1
2.65	-0.027906977	Chr1
2.7	-0.027857143	Chr1
2.75	-0.024634146	Chr1
2.8	-0.0246	Chr1
2.85	-0.0276	Chr1
2.9	-0.017234043	Chr1
2.95	-0.023095238	Chr1
3	-0.026046512	Chr1
3.05	-0.03	Chr1
3.1	-0.026829268	Chr1
3.15	-0.011	Chr1
3.2	-0.011	Chr1
3.25	-0.007179487	Chr1
3.3	-0.000487805	Chr1
3.35	-0.008444444	Chr1
3.4	-0.008043478	Chr1
3.45	0.000444444	Chr1
3.5	0.001136364	Chr1
3.55	-0.009166667	Chr1
3.6	-0.001785714	Chr1
3.65	0.001111111	Chr1
3.7	-0.006666667	Chr1
3.75	0.000178571	Chr1
3.8	0.00673913	Chr1
3.85	-0.0122	Chr1
3.9	-0.017083333	Chr1
3.95	-0.013191489	Chr1
4	-0.016818182	Chr1
4.05	-0.01125	Chr1
4.1	-0.010731707	Chr1
4.15	-0.025609756	Chr1
4.2	-0.025609756	Chr1
4.25	-0.025609756	Chr1
4.3	-0.033589744	Chr1
4.35	-0.027142857	Chr1
4.4	-0.022571429	Chr1
4.45	-0.011142857	Chr1
4.5	-0.006857143	Chr1
4.55	0.009375	Chr1
4.6	0.007894737	Chr1
4.65	0.011111111	Chr1
4.7	0.022352941	Chr1
4.75	-0.013684211	Chr1
4.8	-0.0195	Chr1
4.85	0.029285714	Chr1
4.9	0.029285714	Chr1
4.95	0.029285714	Chr1
5	0.029285714	Chr1
5.05	0.048571429	Chr1
5.1	0.048	Chr1
5.15	0.0665625	Chr1
5.2	0.047272727	Chr1
5.25	0.027428571	Chr1
5.3	0.04027027	Chr1
5.35	-0.07641791	Chr1
5.4	-0.081142857	Chr1
