POS	VALUE	CHROM
0.003254	0.45	Chr1
0.015633	0.57	Chr1
0.029317	0.5	Chr1
0.029331	0.47	Chr1
0.061682	0.69	Chr1
0.084331	0.79	Chr1
0.128183	0.67	Chr1
0.134412	0.62	Chr1
0.134577	0.73	Chr1
0.134842	0.61	Chr1
0.135161	0.52	Chr1
0.135276	0.41	Chr1
0.136172	0.56	Chr1
0.136195	0.64	Chr1
0.136446	0.54	Chr1
0.1372	0.44	Chr1
0.13723	0.55	Chr1
0.137556	0.41	Chr1
0.138125	0.43	Chr1
0.138215	0.46	Chr1
0.138227	0.44	Chr1
0.138238	0.43	Chr1
0.138296	0.3	Chr1
0.138312	0.29	Chr1
0.1385	0.55	Chr1
0.138513	0.6	Chr1
0.138529	0.55	Chr1
0.139336	0.61	Chr1
0.139378	0.62	Chr1
0.140302	0.57	Chr1
0.145083	0.5	Chr1
0.146214	0.67	Chr1
0.148823	0.58	Chr1
0.149098	0.62	Chr1
0.150367	0.5	Chr1
0.150489	0.47	Chr1
0.150766	0.64	Chr1
0.151564	0.48	Chr1
0.151621	0.5	Chr1
0.151714	0.65	Chr1
0.151741	0.68	Chr1
0.15181	0.62	Chr1
0.151886	0.44	Chr1
0.151907	0.38	Chr1
0.152391	0.47	Chr1
0.152418	0.35	Chr1
0.152821	0.43	Chr1
0.153305	0.64	Chr1
0.153916	0.27	Chr1
0.154304	0.38	Chr1
0.15442	0.18	Chr1
0.154434	0.16	Chr1
0.154453	0.24	Chr1
0.15486	0.46	Chr1
0.154984	0.27	Chr1
0.155839	0.43	Chr1
0.15627	0.73	Chr1
0.156621	0.57	Chr1
0.15678	0.47	Chr1
0.156812	0.41	Chr1
0.156832	0.38	Chr1
0.156912	0.43	Chr1
0.157298	0.5	Chr1
0.236954	0.35	Chr1
0.267271	0.55	Chr1
0.299591	0.42	Chr1
0.304013	0.38	Chr1
0.31017	0.36	Chr1
0.310408	0.5	Chr1
0.312912	0.43	Chr1
0.314261	0.39	Chr1
0.314414	0.28	Chr1
0.315435	0.56	Chr1
0.315689	0.32	Chr1
0.316494	0.41	Chr1
0.318277	0.45	Chr1
0.320545	0.26	Chr1
0.325474	0.5	Chr1
0.326263	0.25	Chr1
0.326617	0.36	Chr1
0.32687	0.62	Chr1
0.326965	0.42	Chr1
0.327027	0.25	Chr1
0.32707	0.28	Chr1
0.327482	0.42	Chr1
0.327687	0.35	Chr1
0.328046	0.58	Chr1
0.328066	0.52	Chr1
0.367265	0.68	Chr1
0.367284	0.65	Chr1
0.373422	0.4	Chr1
0.381915	0.5	Chr1
0.386145	0.36	Chr1
0.58338	0.43	Chr1
0.602565	0.52	Chr1
0.602645	0.4	Chr1
0.63457	0.39	Chr1
0.66178	0.41	Chr1
0.661828	0.33	Chr1
0.662244	0.5	Chr1
0.66225	0.47	Chr1
0.662288	0.46	Chr1
0.662581	0.38	Chr1
0.66263	0.52	Chr1
0.662796	0.62	Chr1
0.663058	0.5	Chr1
0.663894	0.36	Chr1
0.664586	0.5	Chr1
0.664623	0.52	Chr1
0.664653	0.65	Chr1
0.664661	0.65	Chr1
0.664716	0.35	Chr1
0.664873	0.31	Chr1
0.66494	0.52	Chr1
0.664972	0.55	Chr1
0.6655	0.5	Chr1
0.665523	0.44	Chr1
0.66554	0.33	Chr1
0.66555	0.35	Chr1
0.665563	0.38	Chr1
0.665595	0.42	Chr1
0.665619	0.37	Chr1
0.665984	0.65	Chr1
0.666001	0.65	Chr1
0.667757	0.32	Chr1
0.669878	0.62	Chr1
0.669885	0.67	Chr1
0.670081	0.62	Chr1
0.670512	0.56	Chr1
0.670571	0.5	Chr1
0.670791	0.2	Chr1
0.671202	0.61	Chr1
0.674521	0.33	Chr1
0.674733	0.53	Chr1
0.674802	0.44	Chr1
0.674885	0.35	Chr1
0.675354	0.33	Chr1
0.675759	0.62	Chr1
0.675773	0.66	Chr1
0.675781	0.63	Chr1
0.675952	0.62	Chr1
0.675998	0.7	Chr1
0.676314	0.72	Chr1
0.67651	0.46	Chr1
0.676633	0.69	Chr1
0.676649	0.62	Chr1
0.676894	0.33	Chr1
0.676943	0.4	Chr1
0.677302	0.58	Chr1
0.677369	0.55	Chr1
0.678375	0.43	Chr1
0.678976	0.5	Chr1
0.679488	0.41	Chr1
0.679575	0.36	Chr1
0.679764	0.58	Chr1
0.680032	0.59	Chr1
0.680339	0.55	Chr1
0.680357	0.57	Chr1
0.680412	0.53	Chr1
0.680441	0.53	Chr1
0.680467	0.29	Chr1
0.680927	0.31	Chr1
0.681009	0.5	Chr1
0.681069	0.56	Chr1
0.681444	0.24	Chr1
0.683306	0.56	Chr1
0.683925	0.92	Chr1
0.684347	0.46	Chr1
0.684365	0.5	Chr1
0.687232	0.33	Chr1
0.687386	0.78	Chr1
0.687529	0.45	Chr1
0.687619	0.25	Chr1
0.698839	0.55	Chr1
0.699871	0.4	Chr1
0.701055	0.64	Chr1
0.701095	0.36	Chr1
0.702396	0.45	Chr1
0.702467	0.36	Chr1
0.702725	0.33	Chr1
0.702755	0.39	Chr1
0.702778	0.43	Chr1
0.703188	0.56	Chr1
0.705669	0.31	Chr1
0.706102	0.6	Chr1
0.70775	0.46	Chr1
0.720899	0.6	Chr1
0.743252	0.62	Chr1
0.764337	0.58	Chr1
0.771818	0.58	Chr1
0.772282	0.23	Chr1
0.772303	0.21	Chr1
0.772343	0.4	Chr1
0.772416	0.58	Chr1
0.772486	0.44	Chr1
0.772567	0.35	Chr1
0.772661	0.12	Chr1
0.772852	0.4	Chr1
0.772881	0.39	Chr1
0.772899	0.41	Chr1
0.772971	0.35	Chr1
0.773574	0.33	Chr1
0.773599	0.32	Chr1
0.773721	0.35	Chr1
0.773775	0.41	Chr1
0.773781	0.43	Chr1
0.773789	0.4	Chr1
0.773904	0.4	Chr1
0.773931	0.42	Chr1
0.774507	0.4	Chr1
0.774759	0.5	Chr1
0.775442	0.38	Chr1
0.775744	0.41	Chr1
0.776006	0.67	Chr1
0.776315	0.71	Chr1
0.776595	0.78	Chr1
